objID,RA,DEC,PGC,HUBBLE,TYPE
1237645876862517302,339.346142,-1.025407,PGC 69347,.SB.7*.,7.0
1237645876871102524,359.01625,-0.988444,PGC 72922,PSBT2..,2.0
1237645876871102612,359.0295417,-0.9165,PGC 72927,.S..4P.,4.3
1237645876877656225,13.976667,-0.921667,PGC  3312,.E...*.,-5.0
1237645876877787183,14.2585833,-0.8751667,PGC  3405,.S?....,-99.0
1237645876879753255,18.661,-1.020583,PGC  4484,.S..0*/,-0.1
1237645876879818799,18.8768333,-0.8609444,PGC  4540,.SXS6*.,6.0
1237645876880211978,19.7234167,-1.0020278,PGC  4717,.L?....,-99.0
1237645876880605276,20.5990833,-0.8751944,PGC  4992,.SBT4*.,4.0
1237645876880670852,20.8208333,-0.9060278,PGC  5070,,-99.0
1237645876881063979,21.7070417,-0.9753056,PGC  5380,,-99.0
1237645876881326131,22.2443333,-0.949,PGC  5539,PSBT1*.,0.6
1237645876881588260,22.9255833,-0.9333056,PGC  5688,.S..1*/,1.0
1237645876881850427,23.5332083,-1.03225,PGC  5838,.S..2*/,1.7
1237645876883750966,27.7946667,-1.0280556,PGC  6835,.L.....,-2.0
1237645876885454913,31.6771667,-0.8604722,PGC  8060,.SA.8*.,8.0
1237645876890107947,42.3664583,-0.8730278,PGC 10697,PSBR3..,2.5
1237645876890173540,42.473375,-1.0036389,PGC 10747,.S..6*.,6.0
1237645876893515852,50.160625,-1.0350556,PGC 12524,.S?....,-99.0
1237645877411840081,7.800375,-0.4073611,PGC  1905,.L?....,-99.0
1237645877414133791,12.9984167,-0.48675,PGC  3043,,-99.0
1237645877415379073,15.91175,-0.4910833,PGC  3781,.S..6*.,6.0
1237645877417345032,20.31925,-0.5445,PGC  4906,.SBR2..,2.0
1237645877418197001,22.2482083,-0.5619167,PGC  5540,PLBS0*.,-2.0
1237645877421277197,29.272233,-0.46826,PGC  7328,.S..6*.,6.0
1237645877422325869,31.719917,-0.518111,PGC  8067,,-99.0
1237645877424029753,35.6251,-0.617547,PGC  9028,.S..7*/,7.3
1237645877424685196,37.078667,-0.608204,PGC  9406,.IXS9*.,10.0
1237645877426651154,41.604875,-0.4986944,PGC 10496,.SXT5..,5.0
1237645877426913317,42.21685,-0.524054,PGC 10649,CE...*.,-5.0
1237645877426978869,42.4204167,-0.5233611,PGC 10726,.SBT3P?,3.3
1237645877429403778,47.947792,-0.402972,PGC 11912,.SBR3*.,3.3
1237645877429928054,49.1326667,-0.4681111,PGC 12163,.SBS4*.,4.0
1237645877935472652,337.502083333333,-0.116666666666667,PGC 69018,CI..9??,10.0
1237645877937045507,341.101583,-0.162083,PGC 69630,.S..0P*,0.0
1237645877941370931,351.09625,-0.108056,PGC 71345,.SBS9P.,9.0
1237645877941436539,351.256596,0.000202,PGC 71381,.SBS9P*,9.3
1237645877950087171,10.866125,-0.124889,PGC  2597,.SXT6..,6.0
1237645877952381009,16.1052917,-0.1873889,PGC  3830,.E.....,-5.0
1237645877952577625,16.6395833,-0.1338333,PGC  3922,,-99.0
1237645877953364058,18.4242917,-0.1027222,PGC  4415,.S..2..,2.0
1237645877953953898,19.7684167,-0.1385556,PGC  4734,.S..8*.,8.0
1237645877957885955,28.671,-0.1433333,PGC  7090,.E...?.,-5.0
1237645877958082729,29.2524167,-0.0898333,PGC  7326,,-99.0
1237645877958672404,30.5514167,-0.1006389,PGC  7741,PSBS1*.,0.5
1237645877958672405,30.549375,-0.1304167,PGC  7740,.SAT5*.,5.0
1237645877961883680,37.9071667,-0.14025,PGC  9613,,-99.0
1237645877963128896,40.6696292,-0.0132806,PGC 10266,RSAT3..,3.0
1237645877964505094,43.8008169,-0.1835573,PGC 11012,.RING.B,-99.0
1237645877964505095,43.790417,-0.177833,PGC 11007,.RING.A,-4.3
1237645877966929999,49.3604167,-0.0942222,PGC 12220,.S..3*.,3.0
1237645877966995464,49.4877917,-0.1690833,PGC 12262,.SAT5*.,5.0
1237645877967847512,51.560417,-0.203014,PGC 12835,,-99.0
1237645878473588782,340.391167,0.401,PGC 69505,.IBS9*.,10.0
1237645878477193346,348.638025,0.235975,PGC 70784,.L?....,-99.0
1237645878477586580,349.565288,0.261161,PGC 70995,.SXT1*.,1.0
1237645878477652017,349.735906,0.2439521,PGC 71035,.SAT3*P,3.0
1237645878479618057,354.131083,0.297306,PGC 71883,.SXR3*.,3.0
1237645878479683732,354.350087,0.391683,PGC 71926,.SXS9..,9.0
1237645878480470039,356.1253333,0.3204444,PGC 72272,.E+..*.,-4.0
1237645878481518640,358.550267,0.37712,PGC 72808,.E?....,-99.0
1237645878481518641,358.5420417,0.3828611,PGC 72803,.L..+?.,-1.0
1237645878481518642,358.557408,0.357032,PGC 72810,.E?....,-99.0
1237645878481518645,358.544208,0.394306,PGC 72806,.L..+$.,-1.0
1237645878486302746,9.3992083,0.2806944,PGC  2243,.S?....,-99.0
1237645878490366168,18.74,0.4308056,PGC  4500,.E...*.,-5.0
1237645878491611216,21.5205,0.3157222,PGC  5330,.S..8*.,8.0
1237645878494429296,27.952125,0.2638611,PGC  6888,.S..3*.,3.0
1237645878497706024,35.41884,0.255297,PGC  8979,.S..0..,0.0
1237645878498492452,37.2279583,0.3703056,PGC  9445,.S..6*.,6.0
1237645878498754712,37.93075,0.2934722,PGC  9617,.S..6*.,6.0
1237645878498885665,38.167375,0.2601111,PGC  9684,.LBT+*.,-1.0
1237645878498951171,38.2551667,0.4208333,PGC  9711,.S..2..,2.0
